picom 12.5-1
pinentry 1.3.1-5
pipes.sh 1.3.0-1
pipewire 1:1.2.6-1
pipewire-alsa 1:1.2.6-1
pipewire-audio 1:1.2.6-1
pipewire-jack 1:1.2.6-1
pipewire-pulse 1:1.2.6-1
pipewire-session-manager 1:1.2.6-1
pixman 0.44.0-1
pkgconf 2.1.1-1
polkit 125-1
polybar 3.7.2-2
poppler 24.11.0-2
poppler-glib 24.11.0-2
popt 1.19-2
portaudio 1:19.7.0-3
powertop 2.15-2
procps-ng 4.0.4-3
psmisc 23.7-1
python 3.12.7-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-cairo 1.27.0-1
python-cffi 1.17.1-1
python-charset-normalizer 3.4.0-1
python-cryptography 42.0.8-1
python-fastjsonschema 2.20.0-1
python-filelock 3.16.1-1
python-gobject 3.50.0-1
python-idna 3.10-1
python-jaraco.collections 5.0.1-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-mako 1.3.6-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-more-itertools 10.3.0-1
python-ordered-set 4.1.0-5
python-packaging 24.2-1
python-pip 24.3.1-1
python-platformdirs 4.3.6-1
python-pycparser 2.22-2
python-requests 2.32.3-1
python-setuptools 1:75.2.0-2
python-tomli 2.0.1-4
python-trove-classifiers 2024.10.21.16-1
python-urllib3 1.26.20-1
python-validate-pyproject 0.22-1
python-wheel 0.45.0-1
qemu-audio-alsa 9.1.1-2
qemu-audio-dbus 9.1.1-2
qemu-audio-jack 9.1.1-2
qemu-audio-oss 9.1.1-2
qemu-audio-pa 9.1.1-2
qemu-audio-pipewire 9.1.1-2
qemu-audio-sdl 9.1.1-2
qemu-audio-spice 9.1.1-2
qemu-base 9.1.1-2
qemu-block-curl 9.1.1-2
qemu-block-dmg 9.1.1-2
qemu-block-nfs 9.1.1-2
qemu-block-ssh 9.1.1-2
qemu-chardev-spice 9.1.1-2
qemu-common 9.1.1-2
qemu-desktop 9.1.1-2
qemu-hw-display-qxl 9.1.1-2
qemu-hw-display-virtio-gpu 9.1.1-2
qemu-hw-display-virtio-gpu-gl 9.1.1-2
qemu-hw-display-virtio-gpu-pci 9.1.1-2
qemu-hw-display-virtio-gpu-pci-gl 9.1.1-2
qemu-hw-display-virtio-vga 9.1.1-2
qemu-hw-display-virtio-vga-gl 9.1.1-2
qemu-hw-usb-host 9.1.1-2
qemu-hw-usb-redirect 9.1.1-2
qemu-hw-usb-smartcard 9.1.1-2
qemu-img 9.1.1-2
qemu-system-x86 9.1.1-2
qemu-system-x86-firmware 9.1.1-2
qemu-ui-curses 9.1.1-2
qemu-ui-dbus 9.1.1-2
qemu-ui-egl-headless 9.1.1-2
qemu-ui-gtk 9.1.1-2
qemu-ui-opengl 9.1.1-2
qemu-ui-sdl 9.1.1-2
qemu-ui-spice-app 9.1.1-2
qemu-ui-spice-core 9.1.1-2
qemu-vhost-user-gpu 9.1.1-2
qt5-base 5.15.15+kde+r141-1
qt5-declarative 5.15.15+kde+r25-1
qt5-graphicaleffects 5.15.15-1
qt5-location 5.15.15+kde+r7-1
qt5-quickcontrols 5.15.15-1
qt5-quickcontrols2 5.15.15+kde+r5-1
qt5-remoteobjects 5.15.15-1
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt5-wayland 5.15.15+kde+r60-1
qt5-webchannel 5.15.15+kde+r3-1
qt5-webengine 5.15.18-2
qt5-websockets 5.15.15+kde+r2-1
qt5-x11extras 5.15.15-1
qt6-5compat 6.8.0-1
qt6-base 6.8.0-1
qt6-declarative 6.8.0-6
qt6-positioning 6.8.0-1
qt6-shadertools 6.8.0-1
qt6-svg 6.8.0-1
qt6-translations 6.8.0-1
qt6-wayland 6.8.0-1
qt6-webchannel 6.8.0-1
